invoice_number,issue_date,due_date,total_amount,vendor_name,vendor_id,vendor_email,vendor_phone,vendor_address,product_id,description,quantity,unit_price,total_price,discount,tax_amount,shipping_cost,customer_id,customer_name,customer_email,customer_phone,customer_address,payment_date,amount_paid,payment_method,invoice_status,payment_reference,currency,notes
INV151,2025-06-01,2025-06-15,236,Doyle Ltd,b18d2c8c-8fdd-4ebc-b7ff-88d4b509f08a,carolynsmith@smith-hardin.com,5250029218,154 Taylor Estate Suite 752,b86d066b-1ba8-47c6-897a-24ad41b455b8,Mouse,5,40,200,50,36,50,59b9222c-115a-4fac-b173-fcdf3fe1e8f3,Lisa Kelly,sparker@anderson-daniel.org,9029593917,5215 Smith Fords,2025-06-06,100,Cash,Partial,0e61065f-171b-4b80-89b7-fdf77d8d3ddd,AUD,Answer just information.
INV152,2025-06-03,2025-06-17,7534,"Gardner, Robinson and Lawrence",9b792afa-2a3d-418d-a754-a29ff143e545,ybell@poole.com,7104054115,159 Bush Meadows,1754bf08-43d7-4413-a939-ebd1e516b0d4,Tablet,9,700,6300,0,1134,100,7d3572cc-788f-40cd-a5c0-6b93c8edabdd,Brooke Garcia,robertspencer@fernandez.com,6987205061,03241 Anthony Inlet,2025-06-09,3150,PayPal,Partial,7e3a9f07-69fd-48e6-a271-fff92a9527f6,EUR,Hold he high cost and keep enjoy.
INV153,2025-06-06,2025-06-20,2882,Blair PLC,fbff8a7d-f2f5-4176-ac41-cbd372f444ab,karencontreras@barnett.biz,8068687937,989 David Throughway,9be4f19f-9270-4d60-bc4f-48e4a7a02a3d,Printer,3,800,2400,50,432,100,620f230b-439e-454c-a930-16eae0bda1ee,Daniel Lee,rmiller@harris-carson.com,5116868548,62299 Sara Port Apt. 485,2025-06-13,2400,Cash,Paid,0fc79913-9072-46ea-84c0-7a9ad64acb1f,USD,Also every century participant really although threat.
INV154,2025-06-01,2025-06-15,1218.2,Dudley Group,c7cfeca8-22b9-424c-a744-3fb881bd55d5,xmccall@morgan.com,7132475469,7850 Cameron Station,f796611f-c7c1-4b1b-9d58-631b052226b9,Router,9,110,990,50,178.2,100,83666636-68d5-46b8-a6ce-6d7a44e2a94b,Sherry Johnson,marywright@williams-ward.com,5786103579,2414 Paul Estates Apt. 333,2025-06-07,495,PayPal,Partial,0c9e5550-3cd1-4f3f-b0c5-827854dccba5,USD,Listen car community.
INV155,2025-06-05,2025-06-19,283.2,Blair PLC,c3f62136-846d-4a3b-a661-c42630385dd7,jennifer46@york-stevens.com,4896910858,171 Mcneil Route Suite 444,e3082ddc-c9c0-4b7d-aba4-170b4e9d23e9,USB Hub,3,80,240,50,43.2,50,df162ec3-be84-4aa2-b92c-04da5af3da5a,Anthony Mathews,erin07@yahoo.com,6660993538,82417 Joyce Stream Apt. 513,2025-06-11,240,Credit Card,Paid,409ca8f2-3948-4e22-822a-addacd0579e2,EUR,He one less brother approach plant.
INV156,2025-06-03,2025-06-17,2900,"Rodriguez, Figueroa and Sanchez",1689e0b8-c79d-4b62-8379-44c1c90394ea,gpreston@dillon.net,6022356972,2500 Hill Trace Apt. 927,57bd56c9-2240-463b-bed7-47beafd0d2f7,Smartphone,5,500,2500,100,450,50,e3524444-6f04-4f36-967c-5d44862c92fd,Jeffrey Jordan,creyes@hotmail.com,5058300335,942 Madison Hills Suite 789,2025-06-08,0,Bank Transfer,Unpaid,123b31cf-9ee3-49ff-b1bd-b598948f664a,INR,Grow could way truth idea direction road.
INV157,2025-06-03,2025-06-17,524.8,Dudley Group,e60c1638-d4a5-481e-ab38-2a0a231d260b,daviddawson@brooks.com,9010016761,04618 Dean Squares,cd3566ef-5c37-4739-8a62-9c5eda2cf852,HDMI Cable,6,60,360,0,64.8,100,0a190939-dfc7-4b26-acb9-41fcd02c75f9,Nathan Wilson,jimenezchelsea@decker-dudley.com,4208737530,18114 Stephen Hill Suite 701,2025-06-09,360,Bank Transfer,Paid,059c1ba0-bbec-421d-b610-901c2196b3b5,AUD,International break surface three act catch.
INV158,2025-06-01,2025-06-15,531,"Mcclure, Ward and Lee",70d0ebcb-6949-4ce5-a339-5b1a1ce97871,rfriedman@davis.biz,7467621202,729 Maxwell Ridge Apt. 277,db496e6d-1688-482f-b2b6-96ca92b26acd,Keyboard,9,50,450,0,81,0,cd1f75a3-71b6-4ca1-b587-3920142e3df0,Dennis Edwards,april91@stanley-wright.com,2890028772,4083 Powell Freeway,2025-06-11,0,Cash,Unpaid,5b86ea69-5423-4dbe-aba6-b158a5aecf37,USD,Language budget market president bill include news.
INV159,2025-06-04,2025-06-18,1080,Williams and Sons,3227e8d8-9c60-481b-8119-1aa71b61d453,pamela83@powers.com,7589975711,488 Park Cape Apt. 726,65daced0-460a-4125-bf8c-93d4c32afc4a,Webcam,10,100,1000,100,180,0,b148b2a6-ea79-47e1-9be7-02abfac08fc4,Timothy Long,jenniferrodriguez@yahoo.com,9177982708,292 Dale Shoals Suite 866,2025-06-10,0,Credit Card,Unpaid,cab24f24-1744-4e3f-936e-c1bd000b1f5e,INR,Wife laugh card include record security.
INV160,2025-06-06,2025-06-20,186,Arnold Ltd,4024c424-aef2-4b2f-895f-a2fcfbc8c77e,jennifer83@clark.com,2288515879,0810 Thomas Skyway Apt. 342,214c0a4d-43a5-44d2-8e7d-3f5a4773e66a,SSD,1,200,200,50,36,0,6db2b020-0a67-4143-a090-103c1e8df8ad,Antonio Mueller,howardshaun@parrish.net,3840666580,59893 Kelly Fall Apt. 228,2025-06-12,200,PayPal,Paid,8c3d031a-b395-4193-97d3-b9d94c859233,INR,Once effort form report.
